City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Boyolangu,ID,2019-11-04 04:00:22,-8.09,111.9,84.83,60,56,12.8
137,Lorengau,PG,2019-11-04 04:00:43,-2.02,147.27,84.27,69,67,12.86
138,Khatanga,RU,2019-11-04 03:59:11,71.98,102.47,-12.09,96,100,12.41
139,Trairi,BR,2019-11-04 04:08:38,-3.28,-39.27,76.53,82,71,7.52
140,Vangaindrano,MG,2019-11-04 04:08:38,-23.35,47.6,69.04,93,50,5.28
141,Panormos,GR,2019-11-04 04:08:39,38.37,22.25,66.0,64,100,1.99
142,Jiwani,PK,2019-11-04 04:08:39,25.05,61.74,81.61,67,0,8.59
143,Alekseyevsk,RU,2019-11-04 03:59:12,57.84,108.35,17.02,74,39,10.29
144,Carnarvon,ZA,2019-11-04 03:58:43,-30.97,22.13,57.43,51,2,10.13
145,Mumbwa,ZM,2019-11-04 04:08:40,-14.99,27.06,63.77,52,9,2.73
146,Laurel,US,2019-11-04 04:05:55,39.1,-76.85,39.99,86,1,3.36
147,Tiksi,RU,2019-11-04 04:08:40,71.64,128.87,5.92,86,100,8.43
148,Talnakh,RU,2019-11-04 03:59:38,69.49,88.39,-0.41,77,75,15.66
149,Lavrentiya,RU,2019-11-04 04:00:51,65.58,-170.99,26.1,81,0,8.28
150,Waipawa,NZ,2019-11-04 04:08:41,-39.94,176.59,69.01,60,0,11.01
151,Saint-Pierre,FR,2019-11-04 03:58:58,48.95,4.24,50.0,100,30,16.11
152,Iquique,CL,2019-11-04 04:08:42,-20.22,-70.14,64.4,72,90,5.82
153,Polewali,ID,2019-11-04 04:08:42,-4.03,119.8,93.43,42,11,7.52
154,Aflao,TG,2019-11-04 04:08:42,6.12,1.19,73.4,94,20,2.24
155,Nikolskoye,RU,2019-11-04 03:58:47,59.7,30.79,37.4,86,75,8.95
156,Vila Franca Do Campo,PT,2019-11-04 03:59:33,37.72,-25.43,64.4,72,75,5.82
157,Codo,ES,2019-11-04 04:08:43,41.33,-0.7,62.6,59,20,16.11
158,Palmer,AU,2019-11-04 03:59:06,-34.85,139.16,66.99,45,19,23.04
159,Lewisporte,CA,2019-11-04 04:05:55,49.25,-55.06,41.0,93,75,12.75
160,Pisco,PE,2019-11-04 03:59:18,-13.71,-76.2,63.0,88,17,14.99
161,Upernavik,GL,2019-11-04 03:59:38,72.79,-56.15,23.16,78,100,8.68
162,Katsuura,JP,2019-11-04 03:59:51,33.93,134.5,66.2,45,40,19.46
163,Gazanjyk,TM,2019-11-04 04:08:44,39.24,55.52,34.47,58,33,10.94
164,Yulara,AU,2019-11-04 03:59:31,-25.24,130.99,80.6,12,0,16.11
165,Shirpur,IN,2019-11-04 04:08:44,21.35,74.88,78.46,66,21,2.8
166,Goderich,CA,2019-11-04 04:08:45,43.74,-81.71,39.0,82,89,8.01
167,Beckley,US,2019-11-04 04:08:45,37.78,-81.19,39.2,47,1,5.82
168,Columbus,US,2019-11-04 03:54:42,32.46,-84.99,52.0,86,1,4.7
169,Odemira,PT,2019-11-04 04:08:45,37.6,-8.64,63.0,98,67,4.76
170,Tuktoyaktuk,CA,2019-11-04 04:08:46,69.44,-133.03,19.4,92,90,19.46
171,Xinpu,CN,2019-11-04 04:08:46,27.63,119.93,66.4,55,9,6.55
172,Araouane,ML,2019-11-04 04:08:46,18.9,-3.53,78.21,18,17,9.91
173,Husavik,CA,2019-11-04 03:59:32,50.56,-96.99,28.99,96,29,10.25
174,San Carlos De Bariloche,AR,2019-11-04 04:08:46,-41.13,-71.31,46.4,65,40,28.86
175,Kaitangata,NZ,2019-11-04 03:59:00,-46.28,169.85,57.99,71,31,7.0
176,Vao,EE,2019-11-04 04:08:47,59.1,26.19,37.85,94,100,11.32
177,Tabat,ID,2019-11-04 04:08:47,-2.64,115.23,96.37,38,46,3.06
178,Lebu,ET,2019-11-04 04:08:47,8.96,38.73,47.97,81,70,3.49
179,Bilma,NE,2019-11-04 04:08:48,18.69,12.92,75.09,19,0,6.78
180,Dunedin,NZ,2019-11-04 03:58:47,-45.87,170.5,70.0,52,15,5.01
181,Glendive,US,2019-11-04 04:00:51,47.11,-104.71,36.0,83,90,5.82
182,Cherskiy,RU,2019-11-04 04:08:48,68.75,161.3,22.1,81,89,18.37
183,Ixtapa,MX,2019-11-04 04:08:49,20.71,-105.21,81.0,83,5,2.24
184,Chagoda,RU,2019-11-04 04:08:49,59.16,35.33,39.85,99,100,4.0
185,Fernley,US,2019-11-04 04:08:49,39.61,-119.25,51.8,24,1,3.36
186,Puerto Baquerizo Moreno,EC,2019-11-04 04:08:49,-0.9,-89.6,69.04,89,28,15.43
187,New Norfolk,AU,2019-11-04 03:58:53,-42.78,147.06,60.8,46,75,12.75
188,Pandan,PH,2019-11-04 04:08:50,11.72,122.09,83.08,78,39,15.17
189,Leh,IN,2019-11-04 04:08:50,34.16,77.58,22.44,86,97,4.63
190,Severo-Kurilsk,RU,2019-11-04 03:59:27,50.68,156.12,37.63,78,87,14.36
191,Cidreira,BR,2019-11-04 04:08:51,-30.17,-50.22,68.14,76,98,14.29
192,Awbari,LY,2019-11-04 04:08:51,26.59,12.77,74.16,27,5,6.33
193,Nanyang,CN,2019-11-04 04:08:51,33.0,112.53,66.0,25,0,8.79
194,Longyearbyen,NO,2019-11-04 03:59:27,78.22,15.63,15.8,61,20,14.99
195,Qaqortoq,GL,2019-11-04 04:08:52,60.72,-46.03,24.8,58,20,1.12
196,Jiuquan,CN,2019-11-04 04:08:52,39.73,98.49,41.85,29,87,3.18
197,Grand-Santi,GF,2019-11-04 04:08:52,4.27,-54.38,72.16,98,12,1.36
198,Tessalit,ML,2019-11-04 04:08:52,20.2,1.01,75.69,21,0,9.01
199,Khrebtovaya,RU,2019-11-04 04:08:53,56.71,104.25,17.11,80,56,6.73
200,Comodoro Rivadavia,AR,2019-11-04 04:00:48,-45.87,-67.48,53.6,37,0,28.86
201,Skala,GR,2019-11-04 04:08:53,36.85,22.66,64.99,93,75,1.72
202,Geraldton,CA,2019-11-04 03:59:00,49.72,-86.95,26.6,86,90,5.82
203,Hof,DE,2019-11-04 04:06:11,50.32,11.92,50.0,100,90,6.93
204,Beyneu,KZ,2019-11-04 04:08:54,45.32,55.19,28.87,65,0,9.51
205,Hit,IQ,2019-11-04 04:08:54,33.64,42.83,72.07,51,75,8.16
206,Koumac,NC,2019-11-04 03:59:16,-20.56,164.28,79.86,49,60,1.28
207,Samarai,PG,2019-11-04 04:08:54,-10.62,150.67,82.53,63,53,8.79
208,Sioux Lookout,CA,2019-11-04 04:08:55,50.1,-91.92,30.2,92,90,8.05
209,Luena,AO,2019-11-04 04:08:55,-11.78,19.91,63.82,88,66,3.29
210,Guerrero Negro,MX,2019-11-04 04:08:55,27.97,-114.04,68.05,54,1,8.59
211,Carbonear,CA,2019-11-04 04:08:55,47.73,-53.24,46.99,87,90,26.4
212,Fortuna,US,2019-11-04 04:08:56,40.6,-124.16,48.2,93,1,3.36
213,Vostok,RU,2019-11-04 04:00:29,46.45,135.83,28.51,51,0,3.98
214,Harper,US,2019-11-04 04:08:56,30.3,-99.24,57.99,50,1,3.36
215,Victoria,BN,2019-11-04 04:08:56,5.28,115.24,89.6,66,75,4.7
216,Bontoc,PH,2019-11-04 04:08:57,17.09,120.98,76.66,67,85,2.48
217,Kushiro,JP,2019-11-04 04:08:57,43.11,144.15,50.0,53,40,10.29
218,Inhambane,MZ,2019-11-04 04:00:10,-23.87,35.38,73.4,94,0,0.78
219,Maceio,BR,2019-11-04 04:08:57,-9.67,-35.74,73.4,94,40,4.7
220,Hovd,NO,2019-11-04 04:08:57,63.83,10.7,33.01,78,0,9.17
221,Sargatskoye,RU,2019-11-04 04:08:58,55.6,73.49,26.26,67,100,5.77
222,Omboue,GA,2019-11-04 04:08:58,-1.57,9.26,74.57,97,99,1.72
223,Slyudyanka,RU,2019-11-04 04:08:58,51.66,103.72,18.91,73,99,2.77
224,Airai,TL,2019-11-04 04:08:58,-8.93,125.41,86.2,33,68,8.97
225,Beroroha,MG,2019-11-04 04:08:58,-21.68,45.17,71.56,61,0,3.18
226,Vila Velha,BR,2019-11-04 04:08:59,-3.71,-38.6,80.6,74,75,12.75
227,Saldanha,PT,2019-11-04 03:59:17,41.42,-6.55,54.77,83,100,22.03
228,Sur,OM,2019-11-04 04:09:00,22.57,59.53,78.06,67,88,7.25
229,Ornskoldsvik,SE,2019-11-04 04:09:00,63.29,18.72,21.2,79,41,4.7
230,Nantucket,US,2019-11-04 04:09:00,41.28,-70.1,48.2,80,1,13.51
231,Port Macquarie,AU,2019-11-04 04:09:00,-31.43,152.91,82.99,56,75,21.92
232,Kavaratti,IN,2019-11-04 03:59:26,10.57,72.64,84.2,74,20,7.23
233,Richards Bay,ZA,2019-11-04 03:59:30,-28.77,32.06,71.6,76,0,9.04
234,Skibotn,NO,2019-11-04 04:09:01,69.39,20.27,30.2,92,75,11.41
235,Chokurdakh,RU,2019-11-04 04:09:01,70.62,147.9,-3.84,95,54,9.69
236,Ilulissat,GL,2019-11-04 03:59:34,69.22,-51.1,23.0,53,79,3.36
237,East London,ZA,2019-11-04 03:59:14,-33.02,27.91,59.0,82,0,8.05
238,Mercedes,UY,2019-11-04 04:09:02,-33.25,-58.03,66.99,83,63,1.01
239,Presidencia Roque Saenz Pena,AR,2019-11-04 04:00:44,-26.79,-60.44,71.26,92,0,6.13
240,Havoysund,NO,2019-11-04 04:09:02,71.0,24.66,33.8,64,75,25.28
241,Nhulunbuy,AU,2019-11-04 04:09:02,-12.18,136.78,86.0,62,75,11.41
242,Muros,ES,2019-11-04 03:59:35,42.77,-9.06,64.0,100,75,12.75
243,Russell,US,2019-11-04 04:09:03,38.9,-98.86,48.2,42,1,5.82
